Time,slide_index,user_id
12-14-16 15:00:09,72,221
12-14-16 14:59:52,72,245
12-14-16 14:59:42,72,238
12-14-16 14:58:03,72,240
12-14-16 14:56:35,67,240
12-14-16 14:55:49,67,240
12-14-16 14:55:26,67,238
12-14-16 14:54:52,66,245
12-14-16 14:53:51,64,240
12-14-16 14:52:19,64,245
12-14-16 14:52:06,64,230
12-14-16 14:47:36,60,221
12-14-16 14:46:19,60,211
12-14-16 14:42:21,59,250
12-14-16 14:41:58,59,233
12-14-16 14:40:22,58,245
12-14-16 14:40:12,58,221
12-14-16 14:40:04,58,229
12-14-16 14:39:59,58,220
12-14-16 14:39:55,58,228
12-14-16 14:39:54,58,211
12-14-16 14:39:50,58,243
12-14-16 14:39:45,58,212
12-14-16 14:39:42,58,233
12-14-16 14:39:39,58,223
12-14-16 14:39:35,58,246
12-14-16 14:39:33,58,213
12-14-16 14:39:27,58,245
12-14-16 14:39:12,58,245
12-14-16 14:15:48,46,238
12-14-16 14:15:21,46,228
12-14-16 14:15:08,46,243
12-14-16 14:15:04,46,229
12-14-16 14:15:04,46,221
12-14-16 14:15:01,46,223
12-14-16 14:14:59,46,216
12-14-16 14:14:56,46,240
12-14-16 14:14:52,46,220
12-14-16 14:14:48,46,211
12-14-16 14:14:44,46,245
12-14-16 14:14:41,46,216
12-14-16 14:14:40,46,246
12-14-16 14:14:11,46,239
12-14-16 14:13:55,46,226
12-14-16 14:13:27,45,246
12-14-16 14:13:25,45,240
12-14-16 14:13:21,45,220
12-14-16 14:13:21,45,229
12-14-16 14:13:17,45,211
12-14-16 14:12:52,45,226
12-14-16 14:12:36,45,243
12-14-16 14:12:24,45,243
12-14-16 14:11:44,44,238
12-14-16 14:11:31,44,245
12-14-16 14:11:29,44,229
12-14-16 14:11:25,44,220
12-14-16 14:11:20,44,240
12-14-16 14:11:20,44,218
12-14-16 14:11:15,44,243
12-14-16 14:11:11,44,226
12-14-16 14:11:08,44,246
12-14-16 14:10:59,44,231
12-14-16 14:10:22,46,237
12-14-16 14:10:17,44,242
12-14-16 14:10:13,43,240
12-14-16 14:10:08,43,225
12-14-16 14:09:58,43,220
12-14-16 14:09:50,43,238
12-14-16 14:09:44,43,228
12-14-16 14:09:41,43,246
12-14-16 14:09:34,43,220
12-14-16 14:09:33,43,223
12-14-16 14:09:29,43,229
12-14-16 14:09:29,43,230
12-14-16 14:09:29,43,211
12-14-16 14:09:25,43,243
12-14-16 14:09:25,43,226
12-14-16 14:09:17,43,240
12-14-16 14:08:26,43,237
12-14-16 14:08:25,43,216
12-14-16 14:08:12,42,213
12-14-16 14:08:08,42,240
12-14-16 14:08:07,42,243
12-14-16 14:08:07,44,235
12-14-16 14:08:02,42,228
12-14-16 14:08:00,43,237
12-14-16 14:08:00,42,223
12-14-16 14:07:58,42,212
12-14-16 14:07:53,42,230
12-14-16 14:07:51,42,211
12-14-16 14:07:46,42,225
12-14-16 14:07:42,42,245
12-14-16 14:07:42,42,223
12-14-16 14:07:39,42,226
12-14-16 14:07:36,42,216
12-14-16 14:07:15,42,238
12-14-16 14:07:00,42,231
12-14-16 14:06:36,43,233
12-14-16 14:06:30,41,221
12-14-16 14:06:25,41,226
12-14-16 14:06:20,41,244
12-14-16 14:06:19,41,231
12-14-16 14:06:12,41,229
12-14-16 14:06:08,41,230
12-14-16 14:06:06,42,237
12-14-16 14:06:03,41,243
12-14-16 14:06:03,41,228
12-14-16 14:05:59,41,220
12-14-16 14:05:55,41,245
12-14-16 14:05:53,41,221
12-14-16 14:05:51,41,223
12-14-16 14:05:48,42,233
12-14-16 14:05:46,40,238
12-14-16 14:05:42,40,228
12-14-16 14:05:34,40,220
12-14-16 14:05:33,41,233
12-14-16 14:05:27,41,238
12-14-16 14:05:21,40,242
12-14-16 14:05:19,40,231
12-14-16 14:05:12,40,230
12-14-16 14:05:10,40,243
12-14-16 14:05:07,41,237
12-14-16 14:05:03,40,226
12-14-16 14:05:02,40,244
12-14-16 14:04:58,40,217
12-14-16 14:04:56,40,212
12-14-16 14:04:51,40,233
12-14-16 14:04:49,40,223
12-14-16 14:04:46,40,220
12-14-16 14:04:46,40,211
12-14-16 14:04:42,40,240
12-14-16 14:04:42,39,246
12-14-16 14:04:35,40,235
12-14-16 14:04:34,40,237
12-14-16 14:04:34,40,210
12-14-16 14:04:30,40,243
12-14-16 14:04:30,40,216
12-14-16 14:04:26,40,242
12-14-16 14:04:01,43,229
12-14-16 14:03:30,38,223
12-14-16 14:03:26,38,243
12-14-16 14:03:11,38,245
12-14-16 14:02:50,38,245
12-14-16 14:02:44,37,241
12-14-16 14:02:30,37,226
12-14-16 14:02:28,37,245
12-14-16 14:02:10,37,242
12-14-16 14:02:04,37,211
12-14-16 14:01:58,37,216
12-14-16 14:01:53,37,243
12-14-16 14:01:50,37,220
12-14-16 14:01:49,37,230
12-14-16 14:01:37,37,221
12-14-16 14:01:36,37,238
12-14-16 14:01:32,37,246
12-14-16 14:01:31,45,235
12-14-16 14:01:29,37,223
12-14-16 14:01:23,37,237
12-14-16 14:00:51,39,217
12-14-16 14:00:50,46,233
12-14-16 13:59:53,36,238
12-14-16 13:58:20,33,220
12-14-16 13:58:11,32,240
12-14-16 13:57:41,33,240
12-14-16 13:57:18,33,217
12-14-16 13:57:14,33,237
12-14-16 13:56:53,33,216
12-14-16 13:56:41,33,230
12-14-16 13:56:40,33,220
12-14-16 13:56:36,33,238
12-14-16 13:56:35,33,250
12-14-16 13:56:31,33,216
12-14-16 13:56:28,33,218
12-14-16 13:56:25,32,233
12-14-16 13:56:22,33,221
12-14-16 13:56:18,33,228
12-14-16 13:56:17,33,226
12-14-16 13:56:11,32,212
12-14-16 13:56:04,33,211
12-14-16 13:56:03,33,229
12-14-16 13:55:59,33,227
12-14-16 13:55:52,33,210
12-14-16 13:55:52,33,243
12-14-16 13:55:47,33,223
12-14-16 13:54:13,31,227
12-14-16 13:54:06,31,238
12-14-16 13:53:49,31,238
12-14-16 13:53:44,31,220
12-14-16 13:53:44,31,223
12-14-16 13:53:40,31,216
12-14-16 13:53:40,31,245
12-14-16 13:53:36,31,237
12-14-16 13:53:36,31,217
12-14-16 13:53:31,31,243
12-14-16 13:53:28,31,212
12-14-16 13:53:27,31,250
12-14-16 13:53:23,31,211
12-14-16 13:53:18,31,243
12-14-16 13:53:14,31,235
12-14-16 13:53:11,31,237
12-14-16 13:53:08,31,216
12-14-16 13:53:03,31,245
12-14-16 13:53:01,31,221
12-14-16 13:52:58,31,240
12-14-16 13:52:53,31,237
12-14-16 13:52:49,31,218
12-14-16 13:50:48,27,238
12-14-16 13:50:19,26,223
12-14-16 13:50:00,26,240
12-14-16 13:49:39,26,233
12-14-16 13:48:18,26,229
12-14-16 13:48:09,26,250
12-14-16 13:48:02,26,237
12-14-16 13:48:02,26,242
12-14-16 13:47:58,26,223
12-14-16 13:47:58,26,245
12-14-16 13:47:54,26,221
12-14-16 13:47:53,26,228
12-14-16 13:47:45,26,243
12-14-16 13:47:45,26,215
12-14-16 13:47:40,26,218
12-14-16 13:47:35,26,216
12-14-16 13:47:26,26,220
12-14-16 13:47:21,26,211
12-14-16 13:36:40,19,228
12-14-16 13:34:01,19,238
12-14-16 13:33:34,19,223
12-14-16 13:33:09,19,238
12-14-16 13:29:36,17,216
12-14-16 13:29:25,16,223
12-14-16 13:29:19,16,233
12-14-16 13:29:15,17,238
12-14-16 13:29:04,17,238
12-14-16 13:28:57,16,215
12-14-16 13:28:47,16,216
12-14-16 13:28:44,16,221
12-14-16 13:28:22,16,212
12-14-16 13:28:06,16,223
12-14-16 13:25:35,13,212
12-14-16 13:24:20,12,215
12-14-16 13:23:58,12,212
12-14-16 13:23:24,12,229
12-14-16 13:23:19,12,223
12-14-16 13:23:17,12,218
12-14-16 13:23:08,12,235
12-14-16 13:22:55,13,210
12-14-16 13:22:51,12,215
12-14-16 13:12:22,6,226
12-14-16 13:12:14,6,216
12-14-16 13:12:09,6,228
12-14-16 13:12:03,6,235
12-14-16 13:12:01,6,223
12-14-16 13:11:53,6,245
12-14-16 13:11:52,6,215
12-14-16 13:11:47,6,241
12-14-16 13:11:45,6,212
12-14-16 13:11:36,6,221
12-14-16 13:11:35,6,223
12-14-16 13:11:32,6,242
12-14-16 13:11:23,6,228
12-14-16 13:10:55,5,216
12-14-16 13:10:39,5,217
12-14-16 13:10:34,5,227
12-14-16 13:10:33,5,237
12-14-16 13:10:29,5,210
12-14-16 13:10:29,5,211
12-14-16 13:10:22,5,223
12-14-16 13:10:22,5,238
12-14-16 13:10:22,5,243
12-14-16 13:10:17,5,235
12-14-16 13:10:15,5,241
12-14-16 13:10:12,5,220
12-14-16 13:10:08,5,221
12-14-16 13:10:05,5,227
12-14-16 13:10:02,5,226
12-14-16 13:10:02,5,242
12-14-16 13:09:52,5,228
12-14-16 13:09:46,5,223
12-14-16 13:09:46,5,242
12-14-16 13:09:42,5,212
12-14-16 13:09:37,5,230
12-14-16 13:09:32,5,221
12-14-16 13:09:29,5,242
