user_id,timestamp,count
232,1481702400000,362
234,1481702400000,343
235,1481702400000,339
216,1481702400000,323
240,1481702400000,318
233,1481702400000,297
237,1481702400000,297
238,1481702400000,296
222,1481702400000,286
246,1481702400000,282
245,1481702400000,260
244,1481702400000,251
223,1481702400000,249
211,1481702400000,242
250,1481702400000,238
231,1481702400000,228
229,1481702400000,206
249,1481702400000,190
230,1481702400000,188
220,1481702400000,180
225,1481702400000,171
213,1481702400000,170
227,1481702400000,164
224,1481702400000,147
214,1481702400000,146
218,1481702400000,146
243,1481702400000,138
228,1481702400000,136
239,1481702400000,136
221,1481702400000,133
217,1481702400000,131
210,1481702400000,126
226,1481702400000,126
247,1481702400000,126
219,1481702400000,101
212,1481702400000,95
252,1481702400000,80
215,1481702400000,70
242,1481702400000,57
241,1481702400000,55
